index,neighbourhood_group,neighbourhood
0,,Barking and Dagenham
1,,Barnet
2,,Bexley
3,,Brent
4,,Bromley
5,,Camden
6,,City of London
7,,Croydon
8,,Ealing
9,,Enfield
10,,Greenwich
11,,Hackney
12,,Hammersmith and Fulham
13,,Haringey
14,,Harrow
15,,Havering
16,,Hillingdon
17,,Hounslow
18,,Islington
19,,Kensington and Chelsea
20,,Kingston upon Thames
21,,Lambeth
22,,Lewisham
23,,Merton
24,,Newham
25,,Redbridge
26,,Richmond upon Thames
27,,Southwark
28,,Sutton
29,,Tower Hamlets
30,,Waltham Forest
31,,Wandsworth
32,,Westminster
